id,title,genre,characters,description,link
21,Iyan Bukan Anak Tengah,drama keluarga angst,Renjun,"Danan, Riyan, dan Uan adalah tiga bersaudara yang tumbuh dalam rumah yang menuntut kekuatan, bukan kelembutan. Danan, si sulung, selalu diminta sempurna, tangguh, cerdas, dan tanpa cela. Di sisi lain, Riyan, anak tengah, harus menelan kenyataan pahit, dicap sebagai pembawa sial, diperlakukan berbeda, dan terus merasa tak cukup, meski ia tak pernah berhenti mencoba. Uan, si bungsu, masih kecil, dan justru selalu didahulukan, tak sadar akan badai emosi yang menyelimuti dua kakaknya. Ketiganya bertahan dalam rumah yang lebih sering penuh tuntutan ketimbang pelukan. Saat perlahan suasana keluarga mulai membaik, justru Danan yang memilih untuk pergi selamanya. Sebuah kepergian yang membuka mata bahwa tak semua luka bisa disembuhkan dengan waktu, terkadang, yang terlihat paling kuat adalah yang paling lelah.",https://x.com/armaraher/status/1578714079526793223?t=d30AE6A_4O-vyjTsQ93ZEQ&s=19
22,Jagat Lingga Erlangga,komedi slice of life friendship,Jaemin Renjun Jeno Haechan,"Jagat, anak kaya raya dari Jakarta, harus pindah ke Bandung karena pekerjaan orang tuanya. Dari kehidupan mewah di ibu kota, dia tiba-tiba harus beradaptasi dengan kehidupan baru di sebuah daerah yang jauh dari kemewahan. Di tengah perbedaan budaya dan latar belakang, Jagat bertemu dengan tiga teman baru Raka, Jaya, dan Hari, yang berasal dari keluarga sederhana dan lebih akrab dengan kehidupan sehari-hari yang lebih real Raka, Jaya, dan Hari, teman-teman barunya sempat mengira Jagat ini anak orang susah karena gaya hidupnya terlalu polos dan gak pamer. Jadilah mereka bertiga jadi guide kehidupan rakyat buat si anak sultan ini, lengkap dengan ledekan, miskom, dan petualangan kocak yang gak ada habisnya. Di balik semua kekonyolan itu, persahabatan mereka tumbuh di tengah perbedaan dunia yang sejauh Jakarta dan Bandung coret.",https://x.com/NAAMER1CAN0/status/1470703668315914242?t=ioP-_3Wo3YvHiF6_I-D1pg&s=19
23,Crayon Marks On The Wall,komedi keluarga,Sungjin Wonpil YoungK Dowoon day6,"Empat kepala keluarga yang dikenal jarang berbaur dengan warga tiba-tiba diminta aktif ikut kegiatan lingkungan oleh Pak RW. Meski awalnya canggung dan enggan, ajakan yang nyaris memaksa itu justru jadi awal terbentuknya kelompok kecil berisi para bapak-bapak dengan kepribadian unik. Dari situ, tumbuhlah persahabatan tak terduga yang diwarnai momen chaos, kelucuan, dan kehangatan dalam dinamika keseharian mereka sebagai warga kompleks.",https://x.com/notenamhari/status/1910253736238461342?t=thZTEmR_qg4C_omTSny5FA&s=19
24,Wild Flowers In The Garden,slice of life romansa,lee know lee minho skz,"Kaleel, mahasiswa yang kuliah di luar negeri, jarang pulang ke rumah, meninggalkan adiknya, Jian, dalam kerinduan akan kebersamaan keluarga mereka yang kecil. Diam-diam, Jian menyusun rencana agar Kaleel punya alasan untuk lebih sering kembali. Ia memperkenalkan Kaleel pada Ivanka, mahasiswi dari jurusan berbeda, dengan alasan bisa membantu tugas kuliah Kaleel padahal tujuannya lebih dari itu. Seiring waktu, hubungan antara Kaleel dan Ivanka berkembang, perlahan membuat rumah tak lagi terasa sepi.",https://x.com/NAAMER1CAN0/status/1872976200349696055?t=vET9ZjBK601M1EmIpMVhUQ&s=19
25,Hello Cello,Jeno,"Di sebuah universitas, Cello dikenal sebagai buaya kampus—santai, penuh guyonan, dan suka mendekati cewek cantik. Targetnya kali ini adalah Una, mahasiswi populer dan memesona. Tapi rencana Cello berubah arah saat ia tanpa sengaja justru makin sering berinteraksi dengan Helga, sahabat Una yang terkenal apes dalam urusan percintaan. Helga yang receh, random, dan penuh kejutan justru bikin Cello nyaman tanpa ia sadari. Dari candaan receh, obrolan nggak penting, hingga momen-momen absurd di kampus, kedekatan mereka tumbuh dengan cara yang tidak biasa. Di balik hubungan yang awalnya tak direncanakan, cerita ini juga menyelami sisi Helga yang perlahan menyembuhkan luka-luka emosionalnya, belajar mencintai diri sendiri, dan membangun kembali kepercayaan terhadap cinta dan relasi. Sebuah kisah komedi romantis kampus yang menggabungkan cinta tak terduga, pertemanan hangat, dan proses healing dalam balutan karakter-karakter mahasiswa yang relatable dan hidup.",https://x.com/ijoscripts/status/1479770553758019584?t=u5jEn9oje28a-CT_nhvePQ&s=19
26,Nikola Maldini,romansa slice of life,Mark,"Di sudut Bandung, dua remaja SMA, Nikola dan Maldini, menjalani hidup dengan cara yang sangat berbeda, namun sama-sama penuh mimpi. Nikola dikenal sebagai siswa pekerja keras yang tak menyerah meski hidup dalam keterbatasan. Ia membantu ayahnya berjualan bakmi legendaris yang bikin nagih, bahkan Mikha, teman sekolahnya yang merupakan anak dari penulis terkenal, jadi pelanggan tetap. Mikha sendiri punya mimpinya yang tak kalah besar, ingin berdiri di atas nama sendiri tanpa bayang-bayang sang ibu. Di sela hiruk-pikuk sekolah, naik sepeda keliling kota, dan semangkuk bakmi hangat, Nikola dan Mikha saling menemukan arti dari usaha, harapan, dan cinta pertama. Cerita ini menggambarkan kisah remaja, perjuangan hidup, perbedaan kelas sosial, semangat mengejar mimpi, dan manisnya cinta yang tumbuh pelan-pelan di antara dua dunia yang tak sama.",https://x.com/sideofgemini/status/1533056115491377152?t=2ScnarrFis9BRviUTFM0vA&s=19
27,Private Bodyguard,drama keluarga, Jeno Renjun Haechan Jaemin,"Felysia nggak pernah menyangka hidupnya berubah drastis setelah diadopsi dari panti asuhan dan menjadi bagian dari keluarga baru. Tinggal serumah dengan banyak abang yang ganteng, populer, dan perhatian di mata orang lain ternyata nggak semudah kelihatannya. Di balik senyum mereka, Felysia harus menghadapi dinginnya sikap awal para abang yang sulit menerima kehadirannya sebagai adik angkat. Namun, seiring waktu dan banyak kejadian kecil yang tak terduga, perlahan-lahan jarak itu mulai mencair. Dari kejahilan sehari-hari, momen canggung, hingga perhatian yang diam-diam tumbuh, Felysia belajar arti keluarga, penerimaan, dan kedekatan yang dibangun dari nol.",https://x.com/dailyccaca/status/1462725913817214976?t=2b0-BwwKsB7UXV6X_104BQ&s=19
28,Kosan Abah,pertemanan drama komedi,Bangchan Lee Know Minho Changbin Hyunjin Jisung Felix Seungmin Jeongin,"Delapan pria dengan karakter yang jauh dari kata seragam, tinggal satu kosan dan menjalani hidup kampus yang penuh dengan kejadian kocak. Chandra, lulusan pesantren yang tiba-tiba jadi pentolan warung abang-abang, Arlino yang dingin, sarkastis, dan selalu terlihat tak pedulian, serta Bintang yang kaya raya tapi kesepian, akhirnya merasa bahagia punya teman sekosan yang gila. Haidar, yang gampang meledak emosinya, Jidan yang kadang otaknya kopong, dan Malik yang jadi bandar gosip serta maniak tauco, memberi warna tersendiri dalam kehidupan mereka. Setya yang paling kalem dan Rayen yang mulutnya kayak petasan, menjadi duo penyeimbang di antara kekacauan yang selalu terjadi. Kisah mereka penuh dengan kekonyolan sehari-hari, persahabatan, dan petualangan lucu yang terjadi di kosan mereka.",https://x.com/ownerkosan/status/1638844550126145536?t=34hekIrGxcYiDEha4shY8A&s=19
29,Friendshit,pertemanan drama komedi,han jisung hyunjin haechan,"Jidan, anak Bandung yang ngekos dan kuliah di Jakarta, terbiasa hidup bareng sahabat-sahabat kosannya Haidar, Malik, dan lima penghuni kos lainnya yang udah kayak keluarga. Tapi karena satu masalah serius dengan Haidar, Jidan memutuskan pulang ke Bandung dan kembali dekat dengan tiga sahabat lamanya, Hamizan, Sandi, dan Aslan. Dari situ, hidup Jidan kembali diwarnai nostalgia dan kenyamanan kampung halaman. Sementara itu, di Jakarta, Haidar makin gelisah takut Jidan nggak bakal balik lagi, apalagi setelah lihat Jidan makin lengket sama geng Bandung. Malik dan anak kos lainnya pun ikut geram. Persaingan antar sahabat pun merembet ke sosial media, postingan sindiran, story pasif-agresif, bahkan drama terbuka rebutan Jidan!",https://x.com/ownerkosan/status/1940745635227226633?t=NbpKeZoThDL4GzZEkE2BBA&s=19
30,Agenda Move On,romansa friendship,changbin bangchan,"Jelina menyimpan rasa pada Bintang sejak lama, anak dari partner bisnis ayahnya, sekaligus teman satu kos mantan pacarnya, Chandra. Sayangnya, Bintang terjebak dalam hubungan toxic dengan Angel, pacarnya yang cantik namun manipulatif dan hanya memanfaatkan Bintang karena kekayaannya. Di balik sikap manisnya, Angel perlahan menjauhkan Bintang dari teman-temannya dan membuatnya makin susah dinasihati. Bahkan Chandra, sahabatnya sendiri, sampai harus adu mulut demi membuka mata Bintang. Di tengah hubungan yang makin rusak, Jelina hanya bisa menunggu diam-diam berharap, tapi tahu diri bahwa perasaan tak selalu cukup. Meskipun dia tulus, Jelina tetap berdiri di pinggir cerita, menyaksikan cinta yang tak kunjung menjadi miliknya, bertepuk sebelah tangan.",https://x.com/ownerkosan/status/1791076006494867764?t=SnYXBRIt9EbxocsZNUr3bA&s=19
31,Indestructible,romansa angst slice of life,Jeno,"Arabella, seorang figure skater berbakat yang mewakili Indonesia di Olimpiade Musim Dingin, bertemu dengan Jearth, seorang pianis terkenal, di tengah dinginnya Paris—kota yang menyimpan kenangan traumatis dari masa lalunya. Di antara latihan, melodi piano, dan salju yang membeku, tumbuhlah hubungan yang perlahan menghangatkan hati Arabella. Namun, saat bayang-bayang luka lama kembali menghantuinya, Arabella dihadapkan pada ketakutan terbesar: memilih antara menghadapi masa lalu atau kehilangan orang yang mulai berarti baginya. Sebuah kisah romansa emosional yang menggali trauma, keberanian, dan dilema hati.",https://x.com/bearwwrite/status/1474328349967220737?t=CXhSX5yuUujShCnVFU4CBw&s=19yang
32,Cake shop,romansa remaja slice of life,Jeno,"Zora Marjorie, siswi SMA yang pemalu namun kreatif, diam-diam menyukai Marelio Alexander—siswa populer yang memakai fitur premium Instagram untuk melacak stalker. Demi tetap mengawasinya tanpa ketahuan, Zora membuat akun palsu bertema cake shop. Tapi rencana menguntit diam-diam itu berubah arah saat akun bodongnya justru menarik pelanggan sungguhan, termasuk Zio, kakak tingkat karismatik yang tanpa sadar memviralkan akun tersebut. Kini, Zora harus berpura-pura menjadi pemilik toko kue online sambil menyembunyikan identitas aslinya. Sebuah cerita romansa remaja yang ringan, lucu, dan penuh kekacauan digital yang tak terduga.",https://x.com/equilanas/status/1542501899039277056?t=z63ufzxeInCvc1-ZVua8Xg&s=19
33,Terpikat,romansa slice of life,mark,"Aruna, gadis ceria yang suka bersantai dan menjalani hidup tanpa banyak beban, jatuh cinta pada pandangan pertama pada Abian—siswa pintar, kaku, dan tertutup yang dikenal fokus pada prestasi. Tertarik dengan kepribadian Abian yang bertolak belakang dengannya, Aruna mulai mencari cara untuk mendekat, mulai dari bergabung dalam kelompok belajar hingga mencoba memahami dunia Abian yang penuh kedisiplinan. Namun, usaha mendekati hati seseorang yang sulit ditebak bukanlah hal mudah. Sebuah kisah romansa remaja tentang perbedaan karakter, usaha tulus, dan dinamika menarik antara dua dunia yang saling bertabrakan namun perlahan menyatu.",https://x.com/henderypie/status/1453364715262922757?t=jIvnhIGNkyw2FA_7NXtdNg&s=19
34,Artifice,misteri romansa angst,Jungwoo,"Setelah kematian tragis sahabatnya, Ala, yang diduga bunuh diri akibat perundungan, Shella menyusup ke dalam lingkaran pertemanan yang diduga menjadi penyebabnya, dengan satu tujuan mengungkap kebenaran dan membalas dendam. Di balik senyum palsu dan pertemanan semu, Shella harus menghadapi manipulasi Neira, seorang pick me girl yang licik dan berpengaruh, serta kemungkinan adanya pengkhianat di pihaknya sendiri. Ketegangan meningkat saat hubungannya dengan Atlas, orang yang diam-diam ia sukai, ikut terancam karena permainan Neira. Sebuah AU remaja bertema misteri, psikologis, dan drama balas dendam yang menggali trauma, pengkhianatan, dan harga dari kebenaran.",https://x.com/by_nitaa/status/1492488325122256900?t=qlfAcOTGc8pKvJqgRw6GBw&s=19
35,Shagara Dirga,romansa slice of life,Jeno,"Shagara Dirga, ketua Ultras di SMA Cakra Buana yang terkenal dingin, cuek, dan tak percaya pada cinta pada pandangan pertama, mulai meragukan prinsipnya ketika bertemu Gemala, siswi pindahan dari Jakarta yang berkepribadian hangat dan tak terduga. Kehadiran Gemala perlahan mencairkan sisi Shagara yang tertutup, sementara bagi Gemala, Bandung adalah kota penuh harapan dan mimpi, tempat ia menemukan keindahan baru—termasuk sosok Shagara Dirga. Sebuah kisah romansa remaja tentang perubahan hati, benturan karakter, dan cinta yang tumbuh perlahan di antara sorak-sorai tribun dan dinginnya sikap seorang pemimpin.",https://x.com/liunotes/status/1581253726853296129?t=8DQrB4hP_1RfwaeVD_5PlQ&s=19
36,Atlashella,romansa fluff slice of life,Jungwoo,"Atlas jatuh cinta pada Shella sejak hari pertama ospek, namun perjalanannya tidak mudah. Shella, gadis cerdas dan tertutup, menyimpan trauma masa lalu yang membuatnya sulit percaya pada cinta dan enggan membuka diri. Ia sering memberi silent treatment, menciptakan jarak emosional yang membuat Atlas bingung dan ragu. Meski begitu, Atlas tetap bertahan, mencoba memahami dan menembus tembok yang Shella bangun. Atlashella adalah kisah romansa penuh kesabaran, luka yang belum sembuh, dan usaha tulus seorang pemuda yang percaya bahwa cinta bisa menyembuhkan, bukan melukai.",https://x.com/by_nitaa/status/1512792142753660931?t=mkjdS8V7M8aEISORlW0oQg&s=19
37,Kanelatte,romansa angst slice of life,Haechan,"Setelah delapan tahun bersahabat, Kafsa—seorang atlet renang penuh ambisi—dan Ornela—gadis ceria yang bercita-cita menjadi atlet renang—mulai menyadari ada rasa yang tumbuh di antara mereka. Namun, kehadiran Junarega, teman satu geng Kafsa yang juga menaruh hati pada Ornela, membuat hubungan mereka memasuki pusaran cinta segitiga yang membingungkan. Di tengah persaingan, impian, dan perasaan yang tak terucap, Kanelatte menghadirkan kisah remaja yang hangat, penuh dinamika emosional, dan perjuangan menemukan arah—baik dalam cinta maupun hidup.",https://x.com/jenayspace/status/1535230314506645504?t=1IUS9t4O6xw5ypysV-Dt3A&s=19
38,Be my cupcakes,romansa slice of life komedi fluff,Jeno,"Olive tidak menyangka bahwa cuitan galaunya di Twitter—akibat gagal nonton konser band favorit dan diselingkuhi pacar—akan dibaca langsung oleh Gavin, gitaris band terkenal The Osward. Pertemuan tak terduga itu menjadi awal dari hubungan diam-diam yang perlahan tumbuh di balik sorotan publik. Namun, kisah cinta mereka tak semulus lagu cinta. Dari hubungan backstreet, bayang-bayang masa lalu, ketidakpercayaan diri, hingga pihak ketiga yang mencoba merusak segalanya, Olive dan Gavin harus belajar bagaimana mencintai dengan jujur dan berani. Sebuah romansa modern tentang kebetulan, luka, dan ketulusan yang diuji oleh dunia yang tidak selalu ramah.",https://x.com/kalanarca/status/1493203966993518594?t=G-r1nHJmr3c2IHsJvz6dMw&s=19
39,Dirgantara dan Kepulangan,angst keluarga drama slice of life,Taeyong,"Bagi Kalani, Araka Biru Dirgantara—atau Aga—adalah sosok yang nyaris sempurna: tampan, cerdas, lembut, dan dicintai banyak orang. Namun di balik citra Dirgantara yang memukau, Kalani mulai melihat retakan tatapan kosong, senyum yang dipaksakan, dan luka batin yang tak pernah dibicarakan. Seiring waktu, Kalani menyadari bahwa Aga sedang tenggelam dalam rasa sakit yang ia sembunyikan dari dunia. Araka Biru Dirgantara adalah kisah romansa emosional tentang cinta yang bertahan dalam diam, perjuangan menyembuhkan seseorang yang tidak tahu bagaimana meminta tolong, dan pertanyaan besar bisakah cinta menyelamatkan seseorang yang terus terluka dalam sunyi?",https://x.com/1998ur_/status/1395387380933165061?t=Hounq-mu1_kLylkj2rnRUA&s=19